,Gender,Customer Type,Type of Travel,Class,satisfaction,Age,Flight Distance,Inflight entertainment,Baggage handling,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
59,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,23,446,4,4,4,4,0.0
60,Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,39,216,3,4,3,0,0.0
61,Female,Loyal Customer,Business travel,Business,satisfied,52,3475,4,4,3,0,0.0
62,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,25,646,4,3,4,13,1.0
63,Female,Loyal Customer,Business travel,Business,satisfied,48,2501,5,5,4,0,0.0
64,Female,Loyal Customer,Business travel,Business,satisfied,59,2227,4,4,4,30,15.0
65,Male,Loyal Customer,Business travel,Business,satisfied,25,1426,4,4,4,4,0.0
66,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,38,190,4,4,4,0,0.0
67,Male,Loyal Customer,Business travel,Business,satisfied,46,1532,5,5,4,0,0.0
68,Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,50,308,2,2,2,18,12.0
69,Female,Loyal Customer,Business travel,Eco Plus,satisfied,38,157,4,1,4,0,0.0
70,Female,Loyal Customer,Business travel,Business,satisfied,53,1506,5,5,5,0,0.0
71,Male,Loyal Customer,Business travel,Eco Plus,neutral or dissatisfied,30,205,3,1,3,64,49.0
72,Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,39,895,5,4,5,0,2.0
73,Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,66,516,2,5,2,0,37.0
74,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,45,909,1,5,1,0,0.0
75,Female,disloyal Customer,Business travel,Business,satisfied,25,1435,1,5,1,1,1.0
76,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,52,1190,2,2,4,0,6.0
77,Male,Loyal Customer,Personal Travel,Eco,satisfied,64,1259,2,3,2,20,5.0
78,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,50,216,4,1,4,0,0.0
79,Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,41,1670,3,3,3,0,0.0
80,Male,Loyal Customer,Business travel,Business,satisfied,26,3960,4,5,4,45,48.0
81,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,25,817,3,2,3,0,0.0
82,Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,44,1670,5,4,5,0,8.0
83,Female,disloyal Customer,Business travel,Business,satisfied,21,861,1,4,1,0,0.0
84,Male,Loyal Customer,Business travel,Business,satisfied,47,406,4,4,4,44,50.0
85,Male,Loyal Customer,Business travel,Eco Plus,satisfied,31,404,4,2,4,17,3.0
86,Female,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,57,500,5,5,5,0,0.0
87,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,44,689,5,5,5,0,0.0
88,Male,Loyal Customer,Business travel,Business,satisfied,45,3100,4,4,1,0,0.0
89,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,13,525,3,3,3,0,0.0
90,Male,Loyal Customer,Personal Travel,Eco,satisfied,60,931,4,5,4,0,0.0
91,Female,disloyal Customer,Business travel,Business,satisfied,41,304,2,4,2,31,19.0
92,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,30,1896,4,3,4,81,72.0
93,Female,Loyal Customer,Business travel,Eco Plus,satisfied,51,261,5,5,1,0,0.0
94,Female,Loyal Customer,Business travel,Eco,satisfied,61,347,3,3,4,0,11.0
95,Female,Loyal Customer,Business travel,Eco,satisfied,32,1042,4,1,4,35,34.0
96,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,39,1773,5,3,5,14,18.0
97,Male,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,19,342,3,3,3,0,0.0
98,Female,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,15,297,5,1,5,67,62.0
99,Female,disloyal Customer,Business travel,Business,satisfied,42,883,3,4,3,22,27.0
100,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,16,332,3,5,3,40,52.0
101,Male,Loyal Customer,Business travel,Business,satisfied,19,2388,4,1,4,0,0.0
102,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,29,748,5,4,5,0,0.0
103,Female,disloyal Customer,Business travel,Eco Plus,neutral or dissatisfied,27,1080,3,3,3,0,0.0
104,Male,disloyal Customer,Business travel,Business,satisfied,22,231,5,4,5,0,0.0
105,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,15,551,4,4,4,3,0.0
106,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,11,972,1,4,1,0,0.0
107,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,34,265,5,2,5,0,23.0
108,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,26,488,1,5,1,0,0.0
109,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,26,1144,4,5,4,0,0.0
110,Male,Loyal Customer,Business travel,Business,satisfied,53,2332,4,4,3,0,3.0
111,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,36,3024,4,4,1,30,13.0
112,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,32,1750,1,2,1,0,0.0
113,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,20,483,5,3,5,91,82.0
114,Female,Loyal Customer,Business travel,Business,satisfied,35,2128,4,4,4,0,0.0
115,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,15,235,1,4,1,1,10.0
116,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,52,689,3,2,3,0,0.0
117,Male,Loyal Customer,Business travel,Business,satisfied,45,1852,2,2,5,0,0.0
118,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,24,372,3,4,3,21,23.0
119,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,46,3705,4,4,4,4,0.0
120,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,26,416,1,2,1,0,9.0
121,Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,28,337,4,2,4,3,0.0
122,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,11,335,3,4,3,0,0.0
123,Male,Loyal Customer,Business travel,Business,satisfied,45,1400,4,4,5,4,9.0
124,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,62,2521,5,4,1,7,30.0
125,Female,Loyal Customer,Business travel,Business,satisfied,34,374,4,4,3,0,0.0
126,Male,Loyal Customer,Business travel,Business,satisfied,51,308,4,4,5,17,8.0
127,Female,Loyal Customer,Business travel,Eco Plus,neutral or dissatisfied,58,575,2,2,4,14,16.0
128,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,22,618,3,4,3,0,0.0
129,Male,Loyal Customer,Business travel,Eco,satisfied,8,1304,4,4,4,0,0.0
130,Male,disloyal Customer,Business travel,Business,satisfied,26,351,2,4,2,4,11.0
131,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,22,549,3,5,3,15,3.0
132,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,21,3510,3,3,3,0,0.0
133,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,31,1620,3,2,3,0,0.0
134,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,44,326,1,1,5,0,0.0
135,Male,Loyal Customer,Business travel,Business,satisfied,27,588,5,5,5,0,0.0
136,Female,Loyal Customer,Business travel,Business,satisfied,47,1020,5,5,5,0,0.0
137,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,24,2903,3,2,3,0,0.0
138,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,67,2659,1,1,1,0,0.0
139,Male,Loyal Customer,Business travel,Business,satisfied,32,3037,4,1,4,0,0.0
140,Female,Loyal Customer,Personal Travel,Eco,satisfied,58,2475,3,4,1,29,10.0
141,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,12,978,1,4,1,0,0.0
142,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,56,2568,3,3,4,0,0.0
143,Female,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,58,371,1,1,3,0,0.0
144,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,24,791,5,3,5,39,6.0
145,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,68,480,5,3,5,7,6.0
146,Male,Loyal Customer,Business travel,Business,satisfied,46,1786,5,5,3,1,7.0
147,Male,Loyal Customer,Business travel,Business,satisfied,43,1849,3,3,4,0,7.0
148,Female,Loyal Customer,Business travel,Business,satisfied,55,3634,4,1,3,0,0.0
149,Female,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,54,844,3,3,4,0,0.0
150,Female,Loyal Customer,Business travel,Business,satisfied,42,3094,2,2,3,0,10.0
151,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,47,3465,1,1,4,13,15.0
152,Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,29,1035,5,4,5,0,0.0
153,Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,36,237,2,2,2,0,0.0
154,Female,Loyal Customer,Business travel,Business,satisfied,50,3175,5,5,3,0,0.0
155,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,31,760,1,4,1,17,27.0
156,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,13,853,4,5,4,105,122.0
157,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,24,446,5,4,5,0,0.0
158,Female,Loyal Customer,Business travel,Business,satisfied,60,1071,3,3,1,0,0.0
159,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,42,728,3,3,2,0,3.0
160,Female,Loyal Customer,Business travel,Business,satisfied,57,2585,4,4,4,0,0.0
161,Female,Loyal Customer,Business travel,Business,satisfied,42,707,3,3,3,27,11.0
162,Male,disloyal Customer,Business travel,Eco,satisfied,20,861,2,5,2,0,0.0
163,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,51,719,4,4,3,19,0.0
164,Male,Loyal Customer,Business travel,Business,satisfied,45,1790,5,5,4,0,0.0
165,Female,Loyal Customer,Business travel,Eco Plus,satisfied,26,680,5,5,5,12,27.0
166,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,26,888,5,3,5,51,30.0
167,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,24,1660,3,2,3,0,2.0
168,Male,Loyal Customer,Business travel,Eco,satisfied,49,578,1,4,5,162,179.0
169,Female,Loyal Customer,Business travel,Eco,satisfied,17,606,5,2,5,15,15.0
170,Female,Loyal Customer,Business travel,Business,satisfied,39,1487,4,4,3,7,0.0
171,Female,Loyal Customer,Business travel,Business,satisfied,49,317,4,4,5,0,0.0
172,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,48,844,4,4,3,0,1.0
173,Male,Loyal Customer,Business travel,Business,satisfied,52,3747,4,4,5,24,20.0
174,Female,Loyal Customer,Business travel,Business,satisfied,25,2748,3,4,3,0,0.0
175,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,16,1503,3,3,3,0,0.0
176,Male,Loyal Customer,Business travel,Business,satisfied,58,1717,4,4,4,0,0.0
177,Male,disloyal Customer,Business travel,Business,neutral or dissatisfied,8,1117,3,4,3,0,7.0
178,Male,Loyal Customer,Business travel,Business,satisfied,42,1372,5,4,4,141,125.0
179,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,52,2768,4,4,4,0,0.0
180,Female,Loyal Customer,Business travel,Eco,satisfied,47,370,5,5,4,0,0.0
181,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,69,1546,1,1,3,1,26.0
182,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,47,1023,4,1,4,0,0.0
183,Female,Loyal Customer,Business travel,Business,satisfied,41,3636,4,4,2,0,0.0
184,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,40,1325,1,4,1,0,9.0
185,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,56,2556,5,5,2,0,0.0
186,Male,Loyal Customer,Business travel,Business,satisfied,41,1052,4,4,4,6,0.0
187,Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,40,773,3,4,3,15,26.0
188,Male,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,12,817,1,5,1,0,0.0
189,Male,Loyal Customer,Personal Travel,Eco,satisfied,59,516,1,4,1,3,0.0
190,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,21,447,2,5,2,34,19.0
191,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,12,462,2,2,2,0,0.0
192,Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,31,361,1,3,1,0,0.0
193,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,37,125,2,3,2,6,4.0
194,Female,Loyal Customer,Personal Travel,Eco,satisfied,38,271,2,4,2,0,0.0
195,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,45,173,2,4,2,0,0.0
196,Male,Loyal Customer,Business travel,Business,satisfied,43,1950,4,4,5,0,0.0
197,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,52,719,3,3,3,0,17.0
198,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,57,153,2,3,2,0,0.0
199,Female,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,13,337,1,2,1,0,18.0
200,Female,Loyal Customer,Business travel,Business,satisfied,45,3732,5,5,4,17,0.0
201,Female,Loyal Customer,Business travel,Business,satisfied,43,3854,5,5,3,0,0.0
202,Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,53,977,2,3,2,20,17.0
203,Male,Loyal Customer,Business travel,Business,satisfied,23,3073,5,1,5,0,3.0
204,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,16,1379,2,4,2,2,0.0
205,Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,23,631,2,4,2,0,8.0
206,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,45,666,4,5,4,0,0.0
207,Female,Loyal Customer,Business travel,Business,satisfied,46,2820,5,5,3,1,0.0
208,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,49,577,1,1,3,23,2.0
209,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,40,2808,3,4,3,7,2.0
210,Female,Loyal Customer,Business travel,Business,satisfied,19,2172,4,4,4,0,0.0
211,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,48,1192,1,2,1,0,0.0
212,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,64,1773,2,2,4,0,0.0
213,Female,Loyal Customer,Business travel,Eco,satisfied,38,109,5,4,5,31,
214,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,23,1749,3,4,3,97,89.0
215,Female,Loyal Customer,Business travel,Business,satisfied,38,3753,4,4,1,0,0.0
216,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,41,214,2,5,2,16,34.0
217,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,29,1020,1,3,1,0,0.0
218,Male,Loyal Customer,Business travel,Eco Plus,satisfied,47,368,4,2,4,0,0.0
219,Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,50,1448,4,4,4,20,4.0
220,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,18,1127,3,4,3,0,0.0
221,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,20,545,5,3,5,4,0.0
222,Female,Loyal Customer,Business travel,Business,satisfied,41,3238,4,4,4,0,0.0
223,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,12,2466,1,5,1,0,0.0
224,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,36,2715,4,3,2,0,0.0
225,Male,Loyal Customer,Business travel,Business,satisfied,49,337,4,4,3,10,0.0
226,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,55,1608,5,5,2,0,0.0
227,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,43,3004,2,3,2,0,0.0
228,Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,49,980,3,5,3,11,6.0
229,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,35,1462,3,1,3,0,0.0
230,Male,Loyal Customer,Business travel,Business,satisfied,45,1521,5,5,4,0,0.0
231,Female,Loyal Customer,Business travel,Business,satisfied,28,862,5,1,5,9,5.0
232,Male,Loyal Customer,Business travel,Business,satisfied,60,1833,4,4,2,0,0.0
233,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,35,2398,2,2,3,0,9.0
234,Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,38,349,4,4,4,29,28.0
235,Male,Loyal Customer,Business travel,Business,satisfied,48,1722,4,4,1,0,0.0
236,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,65,578,3,3,3,99,101.0
237,Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,30,163,1,4,1,9,11.0
238,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,51,395,3,3,1,0,0.0
239,Male,disloyal Customer,Business travel,Eco,satisfied,23,416,4,5,4,18,4.0
240,Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,37,977,3,3,3,0,0.0
241,Male,Loyal Customer,Business travel,Business,satisfied,23,3095,5,4,5,9,0.0
242,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,32,738,4,4,4,0,3.0
243,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,67,719,1,3,1,24,14.0
244,Male,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,65,226,4,4,3,37,20.0
245,Female,Loyal Customer,Business travel,Business,satisfied,48,1943,5,5,5,0,0.0
246,Male,Loyal Customer,Business travel,Business,satisfied,60,2371,4,4,3,66,61.0
247,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,31,551,3,3,3,53,48.0
248,Male,Loyal Customer,Business travel,Eco Plus,satisfied,22,493,4,2,4,19,6.0
249,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,27,925,5,5,5,4,3.0
250,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,19,405,1,4,1,0,0.0
251,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,26,1055,4,4,4,0,0.0
252,Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,72,305,4,3,4,0,0.0
253,Female,Loyal Customer,Business travel,Business,satisfied,34,589,5,5,5,0,11.0
254,Female,Loyal Customer,Business travel,Business,satisfied,45,1587,4,4,3,0,0.0
255,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,51,3090,2,2,1,0,0.0
256,Female,disloyal Customer,Business travel,Eco,neutral or dissatisfied,26,804,4,4,4,7,0.0
257,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,12,719,1,4,1,0,0.0
258,Female,Loyal Customer,Business travel,Eco Plus,neutral or dissatisfied,72,67,3,3,3,28,18.0
259,Male,Loyal Customer,Business travel,Eco,satisfied,45,550,4,3,4,0,0.0
260,Female,Loyal Customer,Business travel,Business,satisfied,22,2809,5,4,5,36,28.0
261,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,53,552,5,5,5,0,0.0
262,Female,disloyal Customer,Business travel,Business,neutral or dissatisfied,33,356,4,5,4,12,0.0
263,Female,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,46,119,4,4,3,13,32.0
264,Male,Loyal Customer,Business travel,Business,satisfied,54,1545,5,5,4,1,0.0
265,Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,40,819,4,3,4,23,6.0
266,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,37,1801,2,2,4,0,0.0
267,Female,Loyal Customer,Business travel,Business,satisfied,35,1658,5,3,3,6,6.0
268,Female,disloyal Customer,Business travel,Business,satisfied,26,114,4,5,4,0,13.0
269,Female,Loyal Customer,Business travel,Eco,satisfied,62,128,5,5,1,0,16.0
270,Male,Loyal Customer,Business travel,Business,satisfied,58,813,3,3,3,0,0.0
271,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,55,349,2,2,3,0,0.0
272,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,60,1508,3,3,2,15,15.0
273,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,15,89,5,4,5,0,0.0
274,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,67,157,5,3,5,45,33.0
275,Male,Loyal Customer,Business travel,Business,satisfied,43,2828,3,3,5,39,41.0
276,Male,Loyal Customer,Business travel,Business,satisfied,30,3131,5,4,5,7,0.0
277,Female,Loyal Customer,Business travel,Eco,satisfied,42,718,5,5,1,0,0.0
278,Male,Loyal Customer,Business travel,Business,satisfied,40,1959,4,5,4,209,191.0
279,Male,Loyal Customer,Business travel,Business,satisfied,47,3496,5,5,4,0,2.0
280,Male,Loyal Customer,Business travel,Business,neutral or dissatisfied,38,2300,4,4,2,60,37.0
281,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,25,2845,1,2,3,0,1.0
282,Male,disloyal Customer,Business travel,Eco,neutral or dissatisfied,26,406,5,1,3,149,138.0
283,Male,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,66,580,4,5,4,26,13.0
284,Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,69,735,1,1,2,12,4.0
285,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,22,1722,2,3,2,0,53.0
286,Male,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,8,1201,3,1,3,24,14.0
287,Female,disloyal Customer,Business travel,Business,satisfied,37,372,4,5,4,11,0.0
288,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,69,1072,1,1,4,18,7.0
289,Male,Loyal Customer,Business travel,Eco,neutral or dissatisfied,28,733,4,3,4,15,22.0
290,Male,Loyal Customer,Business travel,Eco Plus,neutral or dissatisfied,51,1075,2,4,2,5,0.0
